"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2024","3,814.56","3,555.94","3,899.99","3,503.51","1.02M","7.27%"
"03/05/2024","3,556.03","3,626.39","3,819.79","3,237.28","1.48M","-1.94%"
"03/04/2024","3,626.34","3,488.67","3,638.10","3,445.47","769.53K","3.95%"
"03/03/2024","3,488.67","3,420.64","3,491.53","3,364.44","363.55K","1.99%"
"03/02/2024","3,420.64","3,433.51","3,459.96","3,395.03","296.91K","-0.37%"
"03/01/2024","3,433.51","3,339.25","3,449.56","3,339.24","431.98K","2.82%"
"02/29/2024","3,339.26","3,382.98","3,520.80","3,300.42","802.17K","-1.29%"
"02/28/2024","3,383.03","3,242.44","3,482.48","3,183.92","1.01M","4.35%"
"02/27/2024","3,242.14","3,175.94","3,285.01","3,165.91","674.56K","2.08%"
"02/26/2024","3,175.94","3,112.59","3,193.67","3,038.00","582.39K","2.04%"
"02/25/2024","3,112.59","2,992.29","3,117.59","2,984.29","450.78K","4.02%"
"02/24/2024","2,992.29","2,922.24","3,005.95","2,907.23","251.89K","2.40%"
"02/23/2024","2,922.24","2,972.47","2,992.80","2,906.43","441.33K","-1.69%"
"02/22/2024","2,972.46","2,971.18","3,031.76","2,907.22","595.92K","0.04%"
"02/21/2024","2,971.18","3,015.38","3,016.76","2,871.88","620.51K","-1.47%"
"02/20/2024","3,015.38","2,944.79","3,030.61","2,879.82","674.55K","2.40%"
"02/19/2024","2,944.80","2,880.16","2,983.48","2,859.82","478.68K","2.25%"
"02/18/2024","2,880.10","2,785.90","2,892.79","2,765.97","391.11K","3.38%"
"02/17/2024","2,785.90","2,801.80","2,804.17","2,721.21","251.97K","-0.57%"
"02/16/2024","2,801.80","2,822.59","2,856.76","2,759.52","401.19K","-0.74%"
"02/15/2024","2,822.59","2,775.12","2,864.41","2,760.98","520.70K","1.71%"
"02/14/2024","2,775.12","2,640.12","2,785.51","2,619.77","491.97K","5.11%"
"02/13/2024","2,640.10","2,657.91","2,686.14","2,597.15","530.99K","-0.67%"
"02/12/2024","2,657.87","2,506.69","2,663.57","2,473.54","477.42K","6.03%"
"02/11/2024","2,506.69","2,500.28","2,537.85","2,493.83","230.91K","0.26%"
"02/10/2024","2,500.28","2,486.24","2,515.95","2,472.92","194.43K","0.56%"
"02/09/2024","2,486.24","2,419.56","2,522.96","2,419.16","540.92K","2.76%"
"02/08/2024","2,419.56","2,424.66","2,461.00","2,412.01","350.33K","-0.21%"
"02/07/2024","2,424.64","2,372.65","2,443.71","2,354.46","355.40K","2.19%"
"02/06/2024","2,372.65","2,301.83","2,390.53","2,299.24","381.23K","3.08%"
"02/05/2024","2,301.83","2,289.78","2,336.63","2,271.28","244.98K","0.53%"
"02/04/2024","2,289.78","2,296.50","2,310.34","2,272.02","180.39K","-0.29%"
"02/03/2024","2,296.50","2,309.28","2,329.50","2,293.10","137.80K","-0.55%"
"02/02/2024","2,309.28","2,304.28","2,324.57","2,282.87","246.89K","0.22%"
"02/01/2024","2,304.28","2,283.14","2,311.31","2,240.79","323.61K","0.93%"
"01/31/2024","2,283.14","2,343.11","2,350.80","2,266.80","408.79K","-2.56%"
"01/30/2024","2,343.11","2,317.79","2,389.23","2,298.85","387.12K","1.09%"
"01/29/2024","2,317.79","2,256.92","2,320.97","2,237.69","318.84K","2.70%"
"01/28/2024","2,256.92","2,267.91","2,306.43","2,240.14","216.93K","-0.48%"
"01/27/2024","2,267.91","2,267.56","2,282.16","2,252.31","151.26K","0.02%"
"01/26/2024","2,267.55","2,217.71","2,280.83","2,195.88","377.79K","2.25%"
"01/25/2024","2,217.71","2,234.64","2,242.85","2,173.82","344.11K","-0.76%"
"01/24/2024","2,234.64","2,243.72","2,264.66","2,198.89","373.25K","-0.41%"
"01/23/2024","2,243.74","2,313.65","2,351.18","2,169.54","750.52K","-3.02%"
"01/22/2024","2,313.64","2,457.06","2,465.97","2,304.06","560.84K","-5.84%"
"01/21/2024","2,457.06","2,472.04","2,481.63","2,453.48","126.52K","-0.61%"
"01/20/2024","2,472.03","2,491.81","2,491.81","2,455.07","143.98K","-0.79%"
"01/19/2024","2,491.81","2,469.77","2,504.09","2,418.61","443.42K","0.89%"
